,x,y,z,tagId,timestamp
0,2564,-243,0,26383,2018-10-24 18:39:04.114000082
1,2322,-375,0,26457,2018-10-24 18:39:04.163000107
2,2509,373,0,26376,2018-10-24 18:39:04.200000048
3,2644,-194,0,26383,2018-10-24 18:39:04.276999950
4,2323,-411,0,26457,2018-10-24 18:39:04.341000080
5,2468,331,0,26376,2018-10-24 18:39:04.408999920
6,2745,-7,0,26383,2018-10-24 18:39:04.500000000
7,2331,-402,0,26457,2018-10-24 18:39:04.551000118
8,2417,333,0,26376,2018-10-24 18:39:04.588000059
9,2603,-7,0,26383,2018-10-24 18:39:04.704999924
10,2283,-393,0,26457,2018-10-24 18:39:04.795000076
11,2624,412,0,26376,2018-10-24 18:39:04.884999990
12,2624,-109,0,26383,2018-10-24 18:39:04.997999907
13,2279,-500,0,26457,2018-10-24 18:39:05.049000025
14,2700,503,0,26376,2018-10-24 18:39:05.098000050
15,2698,-129,0,26383,2018-10-24 18:39:05.223000050
16,2252,-517,0,26457,2018-10-24 18:39:05.302000046
17,2481,362,0,26376,2018-10-24 18:39:05.388000011
18,2703,-131,0,26383,2018-10-24 18:39:05.517999887
19,2282,-404,0,26457,2018-10-24 18:39:05.565999985
20,2575,422,0,26376,2018-10-24 18:39:05.602999926
21,2552,28,0,26383,2018-10-24 18:39:05.691999912
22,2268,-368,0,26457,2018-10-24 18:39:05.759999990
23,2576,454,0,26376,2018-10-24 18:39:05.822999954
24,2590,-196,0,26383,2018-10-24 18:39:05.941999912
25,2270,-416,0,26457,2018-10-24 18:39:05.992000103
26,2544,395,0,26376,2018-10-24 18:39:06.032999992
27,2585,-167,0,26383,2018-10-24 18:39:06.148999929
28,2288,-444,0,26457,2018-10-24 18:39:06.209000111
29,2662,391,0,26376,2018-10-24 18:39:06.280999899
30,2339,-706,0,26383,2018-10-24 18:39:06.440000057
31,2356,-366,0,26457,2018-10-24 18:39:06.497999907
32,2648,370,0,26376,2018-10-24 18:39:06.542999983
33,2560,-562,0,26383,2018-10-24 18:39:06.651000023
34,2236,-423,0,26457,2018-10-24 18:39:06.710000038
35,2672,365,0,26376,2018-10-24 18:39:06.788000107
36,2555,63,0,26383,2018-10-24 18:39:06.930000067
37,2306,-442,0,26457,2018-10-24 18:39:06.996000051
38,2639,392,0,26376,2018-10-24 18:39:07.049999952
39,2492,-59,0,26383,2018-10-24 18:39:07.135999918
40,2317,-400,0,26457,2018-10-24 18:39:07.190000057
41,2790,319,0,26376,2018-10-24 18:39:07.262000084
42,2387,97,0,26383,2018-10-24 18:39:07.414000034
43,2290,-398,0,26457,2018-10-24 18:39:07.500999928
44,2755,374,0,26376,2018-10-24 18:39:07.539000034
45,2487,-154,0,26383,2018-10-24 18:39:07.605000019
46,2279,-442,0,26457,2018-10-24 18:39:07.651999950
47,2773,294,0,26376,2018-10-24 18:39:07.693000078
48,2502,-21,0,26383,2018-10-24 18:39:07.842000008
49,2312,-386,0,26457,2018-10-24 18:39:07.905999899
